user_workdays_count;recs_paid;recs_shown;conversion;user_work_years
879.0;0.0;69;0.0;2.4
449.0;0.0;3;0.0;1.2
1746.0;0.0;32;0.0;4.8
1742.0;0.0;18;0.0;4.8
1747.0;0.0;113;0.0;4.8
370.0;2.0;107;0.019;1.0
1102.0;0.0;1;0.0;3.0
640.0;0.0;32;0.0;1.8
1656.0;0.0;2;0.0;4.5
1435.0;0.0;3;0.0;3.9
292.0;0.0;202;0.0;0.8
238.0;0.0;1;0.0;0.7
77.0;0.0;5;0.0;0.2
189.0;0.0;100;0.0;0.5
469.0;0.0;87;0.0;1.3
1092.0;0.0;33;0.0;3.0
640.0;0.0;125;0.0;1.8
146.0;0.0;6;0.0;0.4
1527.0;0.0;3;0.0;4.2
273.0;0.0;47;0.0;0.7
115.0;0.0;45;0.0;0.3
787.0;0.0;140;0.0;2.2
694.0;3.0;3;1.0;1.9
1121.0;0.0;126;0.0;3.1
448.0;0.0;6;0.0;1.2
437.0;0.0;1;0.0;1.2
1719.0;0.0;50;0.0;4.7
1153.0;0.0;62;0.0;3.2
186.0;0.0;169;0.0;0.5
68.0;0.0;5;0.0;0.2
1511.0;0.0;191;0.0;4.1
1746.0;0.0;85;0.0;4.8
453.0;0.0;42;0.0;1.2
