;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
301;2.3;0.35|0.8|;1.15;1.15;2;1012;0.001976284584980237;0.5;0.5
316;2.3;0.45|0.6|;1.05;1.2499999999999998;2;1012;0.001976284584980237;0.4565217391304348;0.5434782608695652
317;2.3;0.45|0.9|;1.35;0.9499999999999997;2;1012;0.001976284584980237;0.5869565217391305;0.41304347826086946
322;2.3;0.4|0.5|0.6;1.5;0.7999999999999998;2;1012;0.001976284584980237;0.6521739130434783;0.3478260869565217
324;2.3;0.4|0.5|0.8;1.7000000000000002;0.5999999999999996;2;1012;0.001976284584980237;0.7391304347826089;0.2608695652173912
339;2.3;0.5|0.55|;1.05;1.2499999999999998;2;1012;0.001976284584980237;0.4565217391304348;0.5434782608695652
351;2.3;0.5|1.2|;1.7;0.5999999999999999;2;1012;0.001976284584980237;0.7391304347826088;0.26086956521739124
353;2.3;0.65|0.75|;1.4;0.8999999999999999;2;1012;0.001976284584980237;0.6086956521739131;0.391304347826087
354;2.3;0.65|0.7|;1.35;0.9499999999999997;2;1012;0.001976284584980237;0.5869565217391305;0.41304347826086946
358;2.3;0.6|0.6|0.6;1.7999999999999998;0.5;2;1012;0.001976284584980237;0.782608695652174;0.2173913043478261
359;2.3;0.6|0.6|;1.2;1.0999999999999999;2;1012;0.001976284584980237;0.5217391304347826;0.47826086956521735
361;2.3;0.6|0.7|;1.2999999999999998;1.0;2;1012;0.001976284584980237;0.5652173913043478;0.4347826086956522
365;2.3;0.6|1.2|;1.7999999999999998;0.5;2;1012;0.001976284584980237;0.782608695652174;0.2173913043478261
293;2.3;0.35|0.45|0.65;1.4500000000000002;0.8499999999999996;1;1012;0.0009881422924901185;0.6304347826086958;0.3695652173913042
294;2.3;0.35|0.45|;0.8;1.4999999999999998;1;1012;0.0009881422924901185;0.3478260869565218;0.6521739130434782
295;2.3;0.35|0.55|0.6|0.65|;2.15;0.1499999999999999;1;1012;0.0009881422924901185;0.9347826086956522;0.0652173913043478
296;2.3;0.35|0.5|0.65;1.5;0.7999999999999998;1;1012;0.0009881422924901185;0.6521739130434783;0.3478260869565217
300;2.3;0.35|0.7|;1.0499999999999998;1.25;1;1012;0.0009881422924901185;0.45652173913043476;0.5434782608695653
303;2.3;0.3|0.3|0.7;1.2999999999999998;1.0;1;1012;0.0009881422924901185;0.5652173913043478;0.4347826086956522
